CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX341500,7/11/2014,ASSAULT,SIMPLE,DRUG STORE,N,N,1824,Y
HX341486,7/11/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,614,Y
HX345906,7/11/2014,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,N,N,324,Y
HX341532,7/11/2014,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,1021,Y
HX341767,7/11/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,1632,Y
HX342082,7/11/2014,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,N,N,1512,Y
HX342045,7/11/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1512,Y
HX341954,7/11/2014,THEFT,$500 AND UNDER,STREET,N,N,334,Y
HX341558,7/11/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,1234,Y
HX341632,7/11/2014,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,Y,1633,Y
HX341501,7/11/2014,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,Y,N,1522,N
HX341508,7/11/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,Y,N,1914,N
HX341578,7/11/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE PORCH/HALLWAY,Y,N,732,N
HX341516,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,1112,Y
HX342583,7/11/2014,THEFT,FROM BUILDING,AIRPORT VENDING ESTABLISHMENT,N,N,1651,Y
HX341506,7/11/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,1522,N
HX341540,7/11/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,Y,N,2534,N
HX341496,7/11/2014,ASSAULT,SIMPLE,STREET,N,N,523,Y
HX341580,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,633,N
HX341519,7/11/2014,THEFT,$500 AND UNDER,PARK PROPERTY,N,N,233,Y
HX344939,7/11/2014,THEFT,OVER $500,STREET,N,N,1822,Y
HX341560,7/11/2014,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,ALLEY,N,N,2531,Y
HX341681,7/11/2014,THEFT,OVER $500,STREET,N,N,1814,Y
HX341575,7/11/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,1021,N
HX341526,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,522,Y
HX341527,7/11/2014,NARCOTICS,POSS: METHAMPHETAMINES,SIDEWALK,Y,N,2423,N
HX341547,7/11/2014,BATTERY,SIMPLE,APARTMENT,N,N,1235,Y
HX341579,7/11/2014,THEFT,$500 AND UNDER,STREET,N,N,121,Y
HX341524,7/11/2014,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESIDENCE,Y,Y,2223,N
HX341648,7/11/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,1021,N
HX341565,7/11/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1211,Y
HX341555,7/11/2014,BATTERY,SIMPLE,APARTMENT,Y,N,2022,N
HX341548,7/11/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,1413,Y
HX342055,7/11/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1413,Y
HX341563,7/11/2014,BATTERY,SIMPLE,GAS STATION,Y,N,2232,N
HX341541,7/11/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1423,Y
HX341544,7/11/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1733,Y
HX341535,7/11/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,923,Y
HX341539,7/11/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,321,N
HX342167,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,911,Y
HX341965,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,632,Y
HX342238,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,422,Y
HX342369,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1213,Y
HX341624,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,Y,N,923,N
HX342121,7/12/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,2033,Y
HX350141,7/12/2014,THEFT,OVER $500,APARTMENT,N,N,1134,Y
HX341816,7/12/2014,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,Y,N,211,N
HX351581,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,724,Y
HX343142,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,623,Y
HX341874,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1215,Y
HX341552,7/12/2014,NARCOTICS,POSS: SYNTHETIC DRUGS,SIDEWALK,Y,N,1123,N
HX342032,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,1913,Y
HX341543,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,Y,N,913,N
HX341571,7/12/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,1924,N
HX341609,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SPORTS ARENA/STADIUM,Y,N,2413,N
HX341616,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,2535,N
HX341553,7/12/2014,BATTERY,SIMPLE,BAR OR TAVERN,Y,N,831,N
HX341559,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,Y,N,711,N
HX341566,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,835,Y
HX341602,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1032,Y
HX341600,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1422,N
HX341599,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,N,712,N
HX341577,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,N,Y,633,Y
HX342854,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,N,N,735,Y
HX343577,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811,Y
HX341668,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENCE PORCH/HALLWAY,Y,N,1733,N
HX341639,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,324,N
HX341590,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,725,Y
HX341649,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,N,1225,Y
HX341601,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,412,Y
HX345202,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1811,Y
HX341595,7/12/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,823,Y
HX341574,7/12/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,922,N
HX341619,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1622,Y
HX341581,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,712,Y
HX341627,7/12/2014,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1722,Y
HX341607,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,1533,Y
HX341640,7/12/2014,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,Y,N,1411,N
HX342488,7/12/2014,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,N,N,2432,Y
HX342256,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,Y,822,Y
HX354112,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,333,Y
HX344328,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,N,N,2422,Y
HX342083,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1613,Y
HX341647,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,Y
HX341888,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,711,Y
HX341650,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,322,Y
HX341614,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,131,Y
HX341604,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,424,N
HX341806,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,713,Y
HX341622,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,N,N,1914,Y
HX342054,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,N,N,2534,Y
HX341620,7/12/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,412,Y
HX341626,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,431,Y
HX341603,7/12/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1531,N
HX341637,7/12/2014,BATTERY,SIMPLE,TAXICAB,N,N,1935,Y
HX341630,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,N,2213,N
HX341661,7/12/2014,THEFT,RETAIL THEFT,GAS STATION,N,N,835,Y
HX341623,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,913,N
HX341664,7/12/2014,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,1233,N
HX341641,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,N,N,1012,Y
HX342850,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,314,Y
HX341670,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,HOSPITAL BUILDING/GROUNDS,N,N,235,Y
HX342374,7/12/2014,ROBBERY,AGGRAVATED,STREET,N,N,1924,Y
HX341677,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,1022,Y
HX341635,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,714,N
HX341656,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,825,N
HX341638,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1831,Y
HX341655,7/12/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,832,N
HX341657,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,GAS STATION,Y,Y,323,N
HX341665,7/12/2014,BATTERY,SIMPLE,APARTMENT,N,N,533,Y
HX341651,7/12/2014,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,RESIDENCE PORCH/HALLWAY,Y,N,2432,N
HX341618,7/12/2014,HOMICIDE,FIRST DEGREE MURDER,STREET,Y,Y,825,N
HX341685,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,N,N,1931,Y
HX341652,7/12/2014,BATTERY,SIMPLE,STREET,N,N,1214,Y
HX341682,7/12/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1433,Y
HX342498,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,713,Y
HX341634,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,921,N
HX341659,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,GAS STATION,N,N,1223,Y
HX341644,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1024,N
HX341653,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1532,Y
HX341663,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,Y,Y,823,N
HX347100,7/12/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2514,Y
HX346258,7/12/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1723,Y
HX344741,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2534,Y
HX344033,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,1412,Y
HX504402,7/12/2014,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,N,N,333,Y
HX341802,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,532,Y
HX343648,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,N,835,N
HX342282,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2221,Y
HX349895,7/12/2014,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,332,Y
HX341919,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,N,N,431,Y
HX353309,7/12/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,N,N,1831,Y
HX341714,7/12/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,532,Y
HX341676,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,332,Y
HX341674,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,Y,N,423,N
HX353331,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,1831,Y
HX341688,7/12/2014,BATTERY,SIMPLE,TAXICAB,N,N,1424,Y
HX341691,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,Y,N,811,N
HX341671,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,835,N
HX341683,7/12/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,Y,N,1132,N
HX341696,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,733,N
HX341784,7/12/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1224,Y
HX341673,7/12/2014,BATTERY,SIMPLE,STREET,N,N,421,Y
HX341697,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,712,Y
HX342246,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,414,Y
HX341725,7/12/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,ALLEY,N,N,611,Y
HX341678,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,2423,Y
HX341702,7/12/2014,PUBLIC PEACE VIOLATION,OTHER VIOLATION,SIDEWALK,Y,N,725,N
HX341693,7/12/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARK PROPERTY,Y,N,1834,N
HX341700,7/12/2014,NARCOTICS,POSS: COCAINE,STREET,Y,N,925,N
HX341704,7/12/2014,PUBLIC PEACE VIOLATION,OTHER VIOLATION,ALLEY,N,N,611,Y
HX341706,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,924,Y
HX341695,7/12/2014,PROSTITUTION,SOLICIT FOR BUSINESS,SIDEWALK,Y,N,733,N
HX341724,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,N,N,2515,Y
HX341698,7/12/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),Y,N,934,N
HX341680,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,621,N
HX341690,7/12/2014,ASSAULT,SIMPLE,STREET,Y,N,421,N
HX341949,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,312,Y
HX341831,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,324,Y
HX344381,7/12/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1214,Y
HX344970,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,2524,Y
HX341810,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,431,Y
HX341672,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1112,Y
HX341686,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,613,Y
HX341710,7/12/2014,ASSAULT,SIMPLE,STREET,Y,N,2432,N
HX341694,7/12/2014,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,Y,N,732,N
HX341692,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,1533,N
HX341701,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,433,Y
HX341708,7/12/2014,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,N,N,1713,Y
HX341740,7/12/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1824,Y
HX341705,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,1413,N
HX341709,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,Y,N,1021,N
HX341703,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,512,Y
HX341728,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1531,Y
HX396882,7/12/2014,THEFT,OVER $500,RESTAURANT,N,N,1231,Y
HX342188,7/12/2014,THEFT,POCKET-PICKING,STREET,N,N,1923,Y
HX341743,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,ALLEY,N,N,433,Y
HX341719,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,624,Y
HX341729,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,Y,N,531,N
HX341739,7/12/2014,BATTERY,SIMPLE,STREET,N,N,612,Y
HX341712,7/12/2014,BATTERY,SIMPLE,SIDEWALK,N,N,422,Y
HX341715,7/12/2014,THEFT,OVER $500,STREET,Y,N,232,N
HX341720,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,311,N
HX341716,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,RESIDENTIAL YARD (FRONT/BACK),N,N,431,Y
HX341717,7/12/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1031,N
HX341718,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,312,Y
HX341745,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,735,Y
HX344858,7/12/2014,THEFT,$500 AND UNDER,,N,N,1214,Y
HX342505,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,324,Y
HX341723,7/12/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,613,Y
HX342464,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,622,Y
HX342024,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,1215,Y
HX351495,7/12/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),N,N,1831,Y
HX341782,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1011,Y
HX341731,7/12/2014,ROBBERY,ARMED: HANDGUN,TAXICAB,Y,N,224,N
HX341738,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,Y,N,1933,N
HX341747,7/12/2014,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,1824,Y
HX341737,7/12/2014,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESIDENCE,N,N,713,Y
HX341722,7/12/2014,BATTERY,SIMPLE,TAXICAB,Y,N,1413,N
HX341742,7/12/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,2513,Y
HX341866,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1221,Y
HX341749,7/12/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1422,Y
HX341856,7/12/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENTIAL YARD (FRONT/BACK),N,N,2413,Y
HX341744,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1133,N
HX342164,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,725,Y
HX341721,7/12/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2024,Y
HX342119,7/12/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,1432,Y
HX345482,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,N,2521,Y
HX341751,7/12/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,2534,Y
HX343703,7/12/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,611,Y
HX341750,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,1622,Y
HX342205,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,835,Y
HX341758,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2515,Y
HX342528,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,HOTEL/MOTEL,N,N,2232,Y
HX341760,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2213,Y
HX341755,7/12/2014,ROBBERY,VEHICULAR HIJACKING,STREET,N,N,931,Y
HX341748,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1651,Y
HX341821,7/12/2014,BATTERY,SIMPLE,RESIDENCE,N,Y,511,Y
HX341769,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,921,N
HX341763,7/12/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,2413,Y
HX341766,7/12/2014,BURGLARY,FORCIBLE ENTRY,"SCHOOL, PUBLIC, BUILDING",N,N,723,Y
HX341756,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,524,Y
HX341781,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,532,Y
HX341879,7/12/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATM (AUTOMATIC TELLER MACHINE),N,N,1821,Y
HX341773,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1924,Y
HX342273,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,421,Y
HX344303,7/12/2014,THEFT,$500 AND UNDER,STREET,N,N,512,Y
HX341823,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,434,Y
HX343190,7/12/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,N,N,1011,Y
HX341768,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX343544,7/12/2014,THEFT,POCKET-PICKING,SIDEWALK,N,N,1125,Y
HX341803,7/12/2014,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,N,N,2031,Y
HX342148,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,522,Y
HX341814,7/12/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,N,Y,414,Y
HX341787,7/12/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1934,Y
HX341790,7/12/2014,THEFT,OVER $500,STREET,N,N,1512,Y
HX343975,7/12/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,1133,Y
HX342104,7/12/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,1631,Y
HX341795,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,313,Y
HY278422,7/12/2014,THEFT,FROM BUILDING,APARTMENT,N,N,733,Y
HX341799,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,133,Y
HX341798,7/12/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1024,N
HX341839,7/12/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,OTHER,Y,N,122,N
HX341853,7/12/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1824,N
HX341842,7/12/2014,THEFT,$500 AND UNDER,STREET,Y,N,2011,N
HX341928,7/12/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1824,N
HX342597,7/12/2014,THEFT,FROM BUILDING,OTHER,N,N,1233,Y
HX341920,7/12/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1934,Y
HX347411,7/12/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,511,Y
HX341824,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,523,Y
HX341825,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,2412,N
HX341925,7/12/2014,ASSAULT,SIMPLE,APARTMENT,N,Y,713,Y
HX341983,7/12/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,531,Y
HX344646,7/12/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,GOVERNMENT BUILDING/PROPERTY,N,N,113,Y
HX345711,7/12/2014,THEFT,$500 AND UNDER,OTHER,N,N,124,Y
HX341836,7/12/2014,ASSAULT,SIMPLE,RESIDENCE,Y,Y,735,N
HX341837,7/12/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,1832,N
HX341847,7/12/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,612,Y
HX341848,7/12/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1011,N
HX341846,7/12/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,Y,N,1824,N
HX341835,7/12/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1653,Y
HX341935,7/12/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,613,Y
HX342397,7/12/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,1933,Y
